0.0315	11.34
0.0316	11.376
0.0317	11.412
0.0318	11.448
0.0319	11.484
0.032	11.52
0.0321	11.556
0.0322	11.592
0.0323	11.628
0.0324	11.664
0.0325	11.7
0.0326	11.736
0.0327	11.772
0.0328	11.808
0.0329	11.844
0.033	11.88
0.0331	11.916
0.0332	11.952
0.0333	11.988
0.0334	12.024
0.0335	12.06
0.0336	12.096
0.0337	12.132
0.0338	12.168
0.0339	12.204
0.034	12.24
0.0341	12.276
0.0342	12.312
0.0343	12.348
0.0344	12.384
0.0345	12.42
0.0346	12.456
0.0347	12.492
0.0348	12.528
0.0349	12.564
0.035	12.6
0.0351	12.636
0.0352	12.672
0.0353	12.708
0.0354	12.744
0.0355	12.78
0.0356	12.816
0.0357	12.852
0.0358	12.888
0.0359	12.924
0.036	12.96
0.0361	12.996
0.0362	13.032
0.0363	13.068
0.0364	13.104
0.0365	13.14
0.0366	13.176
0.0367	13.212
0.0368	13.248
0.0369	13.284
0.037	13.32
0.0371	13.356
0.0372	13.392
0.0373	13.428
0.0374	13.464
0.0375	13.5
0.0376	13.536
0.0377	13.572
0.0378	13.608
0.0379	13.644
0.038	13.68
0.0381	13.716
0.0382	13.752
0.0383	13.788
0.0384	13.824
0.0385	13.86
0.0386	13.896
0.0387	13.932
0.0388	13.968
0.0389	14.004
0.039	14.04
0.0391	14.076
0.0392	14.112
0.0393	14.148
0.0394	14.184
0.0395	14.22
0.0396	14.256
0.0397	14.292
0.0398	14.328
0.0399	14.364
0.04	14.4
0.0401	14.436
0.0402	14.472
0.0403	14.508
0.0404	14.544
0.0405	14.58
0.0406	14.616
0.0407	14.652
0.0408	14.688
0.0409	14.724
0.041	14.76
0.0411	14.796
0.0412	14.832
0.0413	14.868
0.0414	14.904
0.0415	14.94
0.0416	14.976
0.0417	15.012
0.0418	15.048
0.0419	15.084
0.042	15.12
0.0421	15.156
0.0422	15.192
0.0423	15.228
0.0424	15.264
0.0425	15.3
0.0426	15.336
0.0427	15.372
0.0428	15.408
0.0429	15.444
0.043	15.48
0.0431	15.516
0.0432	15.552
0.0433	15.588
0.0434	15.624
0.0435	15.66
0.0436	15.696
0.0437	15.732
0.0438	15.768
0.0439	15.804
0.044	15.84
0.0441	15.876
0.0442	15.912
0.0443	15.948
0.0444	15.984
0.0445	16.02
0.0446	16.056
0.0447	16.092
0.0448	16.128
0.0449	16.164
0.045	16.2
0.0451	16.236
0.0452	16.272
0.0453	16.308
0.0454	16.344
0.0455	16.38
0.0456	16.416
0.0457	16.452
0.0458	16.488
0.0459	16.524
0.046	16.56
0.0461	16.596
0.0462	16.632
0.0463	16.668
0.0464	16.704
0.0465	16.74
0.0466	16.776
0.0467	16.812
0.0468	16.848
0.0469	16.884
0.047	16.92
0.0471	16.956
0.0472	16.992
0.0473	17.028
0.0474	17.064
0.0475	17.1
0.0476	17.136
0.0477	17.172
0.0478	17.208
0.0479	17.244
0.048	17.28
0.0481	17.316
0.0482	17.352
0.0483	17.388
0.0484	17.424
0.0485	17.46
0.0486	17.496
0.0487	17.532
0.0488	17.568
0.0489	17.604
0.049	17.64
0.0491	17.676
0.0492	17.712
0.0493	17.748
0.0494	17.784
0.0495	17.82
0.0496	17.856
0.0497	17.892
0.0498	17.928
0.0499	17.964
0.05	18
0.0501	18.036
0.0502	18.072
0.0503	18.108
